Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","004","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2010","2010","USD","537.238236","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2011","2011","USD","612.773225","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2012","2012","USD","649.710978","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2013","2013","USD","631.060444","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2014","2014","USD","596.048898","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2015","2015","USD","554.004007","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2016","2016","USD","526.164709","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2017","2017","USD","534.020133","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2018","2018","USD","513.981256","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","USD","512.910125","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2020","2020","USD","512.74993","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2021","2021","USD","378.082892","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6119","Value US$ per capita","22011","Gross National Income","2010","2010","USD","571.352591","X","Figure from international organizations",""
