Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22008","Gross Domestic Product","2010","2010","USD","1943.618265","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22008","Gross Domestic Product","2011","2011","USD","2113.039197","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22008","Gross Domestic Product","2012","2012","USD","2208.155882","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22008","Gross Domestic Product","2013","2013","USD","2213.490703","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22008","Gross Domestic Product","2014","2014","USD","2271.002854","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22008","Gross Domestic Product","2015","2015","USD","2008.980231","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22008","Gross Domestic Product","2016","2016","USD","1837.010359","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22008","Gross Domestic Product","2017","2017","USD","1866.022542","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22008","Gross Domestic Product","2018","2018","USD","1919.051829","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","USD","1942.458294","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22008","Gross Domestic Product","2020","2020","USD","1801.177923","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22008","Gross Domestic Product","2021","2021","USD","1964.499025","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22011","Gross National Income","2010","2010","USD","1887.636832","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22011","Gross National Income","2011","2011","USD","2039.685687","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22011","Gross National Income","2012","2012","USD","2138.1806","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22011","Gross National Income","2013","2013","USD","2137.481104","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22011","Gross National Income","2014","2014","USD","2204.494279","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22011","Gross National Income","2015","2015","USD","1963.300868","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22011","Gross National Income","2016","2016","USD","1776.701189","X","Figure from international organizations",""
"MK","Macro Indicators","002","Africa","6119","Value US$ per capita","22011","Gross National Income","2017","2017","USD","1795.047272","X","Figure from international organizations",""
