Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 No","1055233.393","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2010","2010","1000 No","525866.141","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2010","2010","1000 No","529367.256","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2010","2010","1000 No","640859.299","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2010","2010","1000 No","408587.045","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 No","1082675.797","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2011","2011","1000 No","539676.242","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2011","2011","1000 No","542999.555","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2011","2011","1000 No","652803.773","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2011","2011","1000 No","424130.04","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 No","1110797.233","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2012","2012","1000 No","553822.18","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2012","2012","1000 No","556975.054","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2012","2012","1000 No","665140.073","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2012","2012","1000 No","440145.195","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 No","1140180.579","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2013","2013","1000 No","568590.645","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2013","2013","1000 No","571589.936","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2013","2013","1000 No","677663.811","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2013","2013","1000 No","456734.381","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 No","1170299.019","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2014","2014","1000 No","583740.913","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2014","2014","1000 No","586558.108","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2014","2014","1000 No","690251.653","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2014","2014","1000 No","473878.136","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 No","1201107.939","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2015","2015","1000 No","599298.323","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2015","2015","1000 No","601809.613","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 No","702838.816","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 No","491531.092","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 No","1232111.607","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 No","614883.178","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 No","617228.434","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2016","2016","1000 No","715396.624","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2016","2016","1000 No","509683.886","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 No","1263333.738","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 No","630519.664","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 No","632814.077","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2017","2017","1000 No","727896.702","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2017","2017","1000 No","528371.323","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","1295265.048","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","646554.745","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","648710.305","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","740318.336","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","547602.182","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","1327701.165","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","662826.92","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","664874.241","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","752651.097","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","567387.619","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","1360677.233","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","679360.411","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","681316.821","X","Figure from international organizations",""
"OA","Annual population","002","Africa","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","764884.396","X","Figure from international organizations",""
"OA","Annual population","002","Africa","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","587737.793","X","Figure from international organizations",""
"OA","Annual population","002","Africa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1393676.446","X","Figure from international organizations",""
"OA","Annual population","002","Africa","512","Total Population - Male","3010","Population - Est. & Proj.","2021","2021","1000 No","695883.356","X","Figure from international organizations",""
"OA","Annual population","002","Africa","513","Total Population - Female","3010","Population - Est. & Proj.","2021","2021","1000 No","697793.092","X","Figure from international organizations",""
