Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","002","Africa","664","Food supply (kcal/capita/day)","S2901","Grand Total","2010","2010","kcal/cap/d","2560","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","661","Food supply (kcal)","S2901","Grand Total","2010","2010","Kcal","940092513.25","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2010","2010","g/cap/d","66.69","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","671","Protein supply quantity (t)","S2901","Grand Total","2010","2010","t","24488717.65","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","664","Food supply (kcal/capita/day)","S2901","Grand Total","2011","2011","kcal/cap/d","2565","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","661","Food supply (kcal)","S2901","Grand Total","2011","2011","Kcal","966396558.04","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2011","2011","g/cap/d","66.71","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","671","Protein supply quantity (t)","S2901","Grand Total","2011","2011","t","25132849.78","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","664","Food supply (kcal/capita/day)","S2901","Grand Total","2012","2012","kcal/cap/d","2572","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","661","Food supply (kcal)","S2901","Grand Total","2012","2012","Kcal","1027158229.16","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2012","2012","g/cap/d","67.46","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","671","Protein supply quantity (t)","S2901","Grand Total","2012","2012","t","26940470.55","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","664","Food supply (kcal/capita/day)","S2901","Grand Total","2013","2013","kcal/cap/d","2572","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","661","Food supply (kcal)","S2901","Grand Total","2013","2013","Kcal","1054210174.11","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2013","2013","g/cap/d","67.33","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","671","Protein supply quantity (t)","S2901","Grand Total","2013","2013","t","27594605.38","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","664","Food supply (kcal/capita/day)","S2901","Grand Total","2014","2014","kcal/cap/d","2577","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","661","Food supply (kcal)","S2901","Grand Total","2014","2014","Kcal","1084560487.67","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2014","2014","g/cap/d","67.57","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","671","Protein supply quantity (t)","S2901","Grand Total","2014","2014","t","28433189.14","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","664","Food supply (kcal/capita/day)","S2901","Grand Total","2015","2015","kcal/cap/d","2571","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","661","Food supply (kcal)","S2901","Grand Total","2015","2015","Kcal","1110452373.37","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2015","2015","g/cap/d","67.15","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","671","Protein supply quantity (t)","S2901","Grand Total","2015","2015","t","29009374.58","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","2557","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","661","Food supply (kcal)","S2901","Grand Total","2016","2016","Kcal","1133468516.67","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2016","2016","g/cap/d","66.66","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","671","Protein supply quantity (t)","S2901","Grand Total","2016","2016","t","29552977.45","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","2564","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","661","Food supply (kcal)","S2901","Grand Total","2017","2017","Kcal","1166343896.92","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2017","2017","g/cap/d","66.88","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","671","Protein supply quantity (t)","S2901","Grand Total","2017","2017","t","30420118.89","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","2567","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","661","Food supply (kcal)","S2901","Grand Total","2018","2018","Kcal","1197789941.15","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2018","2018","g/cap/d","66.81","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","671","Protein supply quantity (t)","S2901","Grand Total","2018","2018","t","31169099.3","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","2571","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","661","Food supply (kcal)","S2901","Grand Total","2019","2019","Kcal","1239543061.25","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2019","2019","g/cap/d","66.57","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","671","Protein supply quantity (t)","S2901","Grand Total","2019","2019","t","32092237.78","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","2572","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","661","Food supply (kcal)","S2901","Grand Total","2020","2020","Kcal","1271060082.76","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2020","2020","g/cap/d","66.4","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","671","Protein supply quantity (t)","S2901","Grand Total","2020","2020","t","32808165.54","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2574","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","661","Food supply (kcal)","S2901","Grand Total","2021","2021","Kcal","1302756753.78","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2021","2021","g/cap/d","66.42","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","671","Protein supply quantity (t)","S2901","Grand Total","2021","2021","t","33615487.15","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","664","Food supply (kcal/capita/day)","S2901","Grand Total","2022","2022","kcal/cap/d","2567","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","661","Food supply (kcal)","S2901","Grand Total","2022","2022","Kcal","1330182796.78","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2022","2022","g/cap/d","66.1","E","Estimated value",""
"FBS","Food Balances (2010-)","002","Africa","671","Protein supply quantity (t)","S2901","Grand Total","2022","2022","t","34246746.93","E","Estimated value",""
"FBS","Food Balances (2010-)","021","Northern America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2010","2010","kcal/cap/d","3713","E","Estimated value",""
"FBS","Food Balances (2010-)","021","Northern America","661","Food supply (kcal)","S2901","Grand Total","2010","2010","Kcal","467715938.51","E","Estimated value",""
