Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (SDG),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2010","2010","million No","167.4","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2011","2011","million No","169","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2012","2012","million No","171.1","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2013","2013","million No","176.1","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2014","2014","million No","181.4","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2015","2015","million No","192.1","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2016","2016","million No","207","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2017","2017","million No","211.6","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2018","2018","million No","221.2","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","002","Africa","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2019","2019","million No","231","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
